---
title: destructive copy of kelly list for aslakssvenskasordbok
revised: 2017-08-12 09:11 
---

ID,Rawfreq,WPM,CEFRlevels,Source,grammar,lemma,class,example
-----------------
4,,,x,x,en,brunch,noun-en,
5,,,x,x,en,decimeter,noun-en,
8,,,x,x,,Europa,proper name,
18,,,x,x,,första,numeral,
19,,,x,x,,Grekland,proper name,
20,,,x,x,,Göteborg,proper name,
21,,,x,x,ett,hekto,noun-ett,
22,,,x,x,en,hela,noun-en,
24,,,x,x,,hundratusen,numeral,
25,,,x,x,,hörsel,noun-en,
26,,,x,x,en,inrikesminister,noun-en,
27,,,x,x,,inrikespolitik,noun-en,
29,,,x,x,,Kina,proper name,
30,,,x,x,ett,kvällsmål,noun-ett,
31,,,x,x,,känsel,noun-en,
35,,,x,x,ett,milligram,noun-ett,
36,,,x,x,en,millimeter,noun-en,
38,,,x,x,ett,månadsskifte,noun-ett,
39,,,x,x,en,nia,noun-en,
44,,,x,x,,nordost,noun,
46,,,x,x,,pingst,noun-en,
47,,,x,x,,Polen,proper name,
48,,,x,x,,Ryssland,proper name,
50,,,x,x,en,sexa,noun-en,
54,,,x,x,en,sjua,noun-en,
60,,,x,x,en,storasyster,noun-en,
62,,,x,x,,syd,noun,
63,,,x,x,,sydväst,noun,
64,,,x,x,,sydöst,noun,
65,,,x,x,en,syssling,noun-en,
66,,,x,x,en,tia,noun-en,
69,,,x,x,,tiotusen,numeral,
78,,,x,x,en,utbildningsminister,noun-en,
80,,,x,x,en,åtta,noun-en,
84,,,x,x,en,änkeman,noun-en,
85,,,x,x,en,änkling,noun-en,
96,1420786,12462.73,x,x,,å,prep,e.g. å ena sidan ... å andra sidan
91,1816701,15935.58,x,x,,dess,pronoun,
92,1662413,14582.21,x,x,,det,pronoun,
108,719843,6314.26,x,x,,ett,det,
121,381431,3345.80,x,x,,de,pronoun,
124,367250,3221.41,x,x,,det,det,
198,105549,925.85,x,x,,el,noun-en,
200,105416,924.68,x,x,en,kommentar,noun-en,
226,82272,721.67,x,x,,helt,adverb,e.g. helt och hållet
245,68462,600.53,x,x,,fram,particle,
282,53060,465.43,x,x,,så,subj,
292,49617,435.23,x,x,,samt,conj,
294,48981,429.65,x,x,,innan,subj,
295,48934,429.24,x,x,,som,adverb,
309,47014,412.39,x,x,,genom att,subj,
311,46879,411.21,x,x,en,möjlighet,noun-en,
317,45947,403.03,x,x,ett,inlägg,noun-ett,
321,45637,400.31,x,x,,så att,subj,
322,44946,394.25,x,x,,lika,adverb,
330,43793,384.14,x,x,att,lyckas,verb,
333,43416,380.83,x,x,en,lag,noun-en,
341,41855,367.14,x,x,,politik,noun-en,
342,41837,366.98,x,x,,tidigare,adverb,
352,39686,348.11,x,x,ett,parti,noun-ett,
354,38967,341.81,x,x,,utveckling,noun-en,
356,38813,340.46,x,x,att,ena,verb,
358,38722,339.66,x,x,,ner,particle,
364,37665,330.39,x,x,,sent,adverb,
365,37379,327.88,x,x,,ekonomisk,adjective,
366,37144,325.82,x,x,,kl. (klockan),noun-en,e.g. klockan 20.00
374,35995,315.74,x,x,ett,beslut,noun-ett,
376,35857,314.53,x,x,,enda,adjective,
377,35756,313.64,x,x,,bort,particle,
382,35074,307.66,x,x,att,ämna,aux verb,e.g. ämna göra ngt
388,33219,291.39,x,x,,varenda,det,
390,33101,290.35,x,x,,först,adverb,
397,32671,286.58,x,x,att,beta,verb,
406,31395,275.39,x,x,att,åta sig,verb,
424,29957,262.77,x,x,,flest,adjective,e.g. de flesta
426,29676,260.31,x,x,,en,pronoun,
427,29593,259.58,x,x,,tillbaka (vardagl. tillbaks),particle,
430,29348,257.43,x,x,,medan (vardagl. medans),subj,
434,28666,251.45,x,x,en,akt,noun-en,
440,28410,249.20,x,x,en,verksamhet,noun-en,
442,28220,247.54,x,x,,samtidigt,adverb,
449,27590,242.01,x,x,en,kommun,noun-en,
450,27584,241.96,x,x,ett,resultat,noun-ett,
460,26457,232.07,x,x,en,debatt,noun-en,
461,26224,230.03,x,x,,när det gäller,prep,
464,26056,228.56,x,x,,europeisk,adjective,
470,25868,226.91,x,x,,social,adjective,
472,25805,226.35,x,x,,kvar,particle,
477,25498,223.66,x,x,ett,krav,noun-ett,
479,25439,223.14,x,x,en,riksdag,noun-en,e.g. riksdagen
480,25384,222.66,x,x,,internationell,adjective,
481,25384,222.66,x,x,,nationell,adjective,
484,24824,217.75,x,x,en,typ,noun-en,
489,24672,216.42,x,x,en,polis,noun-en,
490,24601,215.79,x,x,ett,medium,noun-ett,
494,24337,213.48,x,x,ett,ansvar,noun-ett,
495,24327,213.39,x,x,en,roll,noun-en,
